Settlement,Raw Sugar,Crude Oil,Wheat,Corn,Arabica Coffee,Gold,Soybean,Dow Jone,RBOB Gasoline,Specs Net Long,Line(QBRL=),Line(QTHB=),Line(QINR=),Line(Q.DXY),Line(QAUD=)
Timestamp,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,,ค่าเงินบราซิล,ค่าเงินไทย,ค่าเงินอินเดีย, Dollar Index,ค่าเงินออสเตรเลีย
22/3/2017,17.3,48.04,432.5,358.75,141.7,1249.3,999.75,20661.3,1.6019,191449,3.087,34.53,65.43,99.677,0.7676
23/3/2017,17.6,47.7,428,356.75,140.5,1246.9,991,20656.58,1.5896,186456,3.1383,34.58,65.43,99.76,0.7626
24/3/2017,17.71,47.97,428,356.25,137.6,1248.2,975.75,20596.72,1.6048,186313,3.1073,34.56,65.4,99.627,0.7622
27/3/2017,17.7,47.73,421.25,355.75,139.2,1255.4,971.5,20550.98,1.6189,154567,3.1256,34.36,64.97,99.166,0.7615
28/3/2017,17.56,48.37,424,357.75,138.85,1255.3,972,20701.5,1.6349,131040,3.1398,34.44,65.02,99.712,0.7633
29/3/2017,17.12,49.51,423.5,358.5,139.3,1253.4,969,20659.32,1.672,130095,3.1193,34.41,64.85,99.998,0.7667
30/3/2017,16.81,50.35,417.25,357.5,139.3,1245,963,20728.49,1.6812,149628,3.1483,34.44,64.85,100.41,0.764
31/3/2017,16.76,50.6,420.5,364.25,139.3,1247.3,946,20663.22,1.7001,183577,3.123,34.34,64.85,100.35,0.7628
3/4/2017,16.54,50.24,419,367.75,137.85,1250.8,938.25,20650.21,1.69,194721,3.1138,34.36,64.96,100.54,0.7601
4/4/2017,16.16,51.03,421.75,363,137.75,1255,937.75,20689.24,1.72,191601,3.0927,34.45,65.07,100.54,0.7563
5/4/2017,16.1,51.15,425,364.75,137.3,1245.4,944.25,20648.15,1.72,189953,3.1192,34.53,64.87,100.56,0.7566
6/4/2017,16.45,51.7,420,360.75,137.75,1250.3,941.5,20662.95,1.73,213526,3.142,34.57,64.6,100.67,0.7545
7/4/2017,16.77,52.24,421.75,359.5,140.05,1254.3,942,20656.1,1.75,185673,3.1457,34.6,64.27,101.18,0.7495
10/4/2017,16.63,53.08,425.5,367,139.85,1251.1,941.75,20658.02,1.76,194902,3.1311,34.61,64.58,101.02,0.75
11/4/2017,16.72,53.4,429.75,366.5,140.2,1271.2,939.25,20651.3,1.76,144278,3.136,34.54,64.55,100.71,0.7496
12/4/2017,16.7,53.11,430,369,138.3,1275.3,947.75,20591.86,1.74,115003,3.1251,34.39,64.69,100.78,0.752
13/4/2017,16.6,53.18,427.25,371,138.9,1285.9,955.5,20453.25,1.73,90350,3.1437,34.36,64.43,100.56,0.7567
17/4/2017,16.47,52.65,416.25,366.5,141.1,1289.4,953.25,20636.92,1.72,67782,3.144,34.34,64.46,100.56,0.7572
18/4/2017,16.7,52.41,419.25,361.75,142.9,1291.7,946,20523.28,1.71,56342,3.0979,34.28,64.46,100.29,0.7586
19/4/2017,16.42,50.44,416.75,361.75,138,1281.4,950.25,20404.49,1.659,36295,3.1072,34.32,64.59,99.499,0.756
20/4/2017,16.33,50.27,402.75,357.75,131.65,1281.9,946.75,20578.71,1.6705,26898,3.1514,34.39,64.64,99.738,0.7494
